Source,Target,Year,Weight,Keywords
6603611727,7005557039,2011,9,"['', '', 'Carotid body paraganglioma', 'Intramedullary haemangioblastoma', 'Von Hippel-Lindau disease', '', '', 'breast cancer', 'malignant melanoma', 'MMP1', 'MMP8', '', '', '']"
6603611727,7005557039,2012,2,"['Breast cancer', 'HOXB13', 'p.Gly84Glu', '']"
6603611727,7005557039,2013,10,"['melanoma risk', 'NER', 'Xeroderma pigmentosum', 'XP genes', '', 'Breast cancer', 'Stage', 'Survival', 'CHEK2', 'Gastric cancer', 'Heredity', 'BLM gene', 'Bloom syndrome', 'C.1642C&gt;T', 'Prostate cancer', 'Q548X mutation', '', 'Breast cancer', 'NBS1', 'Prognostic factors', 'Survival', '', '', 'BRCA1', 'BRCA2', 'Breast cancer', 'Cancer diagnostics', 'Germline mutations', 'Large gnomic rearrangements']"
6603611727,7005557039,2014,1,"['BRCA1', 'Breast cancer', 'Neoadjuvant cisplatin']"
6603611727,7005557039,2015,1,['']
6603611727,7005557039,2016,2,"['BRCA1', 'BRCA2', 'Hereditary breast and ovarian cancer', 'Transheterozygosity', 'BRCA1', 'Breast cancer', 'Cisplatin', 'DNA repair', 'Triple-negative']"
6603611727,7005557039,2017,5,"['Cancer risk', 'CHEK2 gene', 'Familial pancreatic cancer', 'Founder mutations', '25(OH)D', 'lung cancer', 'VDR', 'vitamin D', 'Genetic variants', 'Mendelian randomization', 'Renal cell carcinoma', 'Risk', 'Telomere length', 'APOBEC3B', 'Copy number variation (CNV)', 'Hereditary breast cancer', 'Meta-analysis', 'MLPA', '']"
6603611727,7005557039,2018,9,"['Breast cancer', 'Mortality', 'Selenium', 'BRCA1', 'Breast cancer', 'Cisplatinum', 'Oophorectomy', 'Survival', 'BRCA1', 'BRCA2', 'breast cancer', 'ovarian cancer', 'smoking', '', '', '', '', '', 'immunocytochemistry', 'ovary', 'RT-QPCR']"
6602685552,7005527281,2009,1,['']
6602685552,7005527281,2010,2,"['', '']"
6602685552,7005527281,2016,1,"['Biomarkers', 'Genetic variation', 'Immunosuppression', 'Ovarian cancer', 'TGFBR2']"
6602685552,7005527281,2015,1,['']
6602685552,7005527281,2014,1,['']
6602685552,7005527281,2018,2,"['Caffeine', 'Causality', 'Coffee', 'Mendelian randomization', 'Ovarian cancer', '']"
6602685552,7005557039,2009,1,['']
6602685552,7005557039,2010,3,"['', '', '']"
6602685552,7005557039,2011,1,['']
6602685552,7005557039,2013,1,['']
6602685552,7005557039,2015,1,['']
6602685552,7005557039,2016,1,"['Ovarian cancer risk', 'Polymorphisms', 'RNA editing']"
6602685552,7005557039,2014,1,['']
6602685552,7005557039,2017,2,"['', '']"
6602685552,7005557039,2018,3,"['', 'Caffeine', 'Causality', 'Coffee', 'Mendelian randomization', 'Ovarian cancer', '']"
7005527281,7005557039,2007,2,"['', 'Breast cancer', 'Genetic susceptibility']"
7005527281,7005557039,2008,1,['']
7005527281,7005557039,2009,4,"['BRCA1 mutation', 'Breast cancer risk', 'ITGB3', 'MTHFR', 'PHB', 'RAD51', 'Single nucleotide polymorphism', 'TGFB1', 'VEGF', '', 'BARD1', 'BRCA2', 'BRCAI', 'Breat cancer', 'Missense mutation', 'RING finger', 'Splicing', '']"
7005527281,7005557039,2010,10,"['BRCA1', 'Breast cancer', 'Modifying gene', 'Ovarian cancer', 'Polymorphism', 'Chromosome 8q24', 'DG8S737', 'Hereditary', 'Prostate cancer', 'Rs1447295', 'CHEK2 gene', 'Colorectal cancer', 'HNPCC', 'Uterus cancer', 'BRCA1', 'BRCA2', 'Breast cancer', 'ITGB3 Leu33Pro', 'Ovarian cancer', '', '', '', '', 'E-cadherin', 'Hereditary diffuse gastric cancer', 'Polish population', 'BRCA1', 'Colorectal cancer', 'Genetic', 'Hereditary', 'Mutation']"
7005527281,7005557039,2011,10,"['', 'Association studies', 'Polymorphism', 'Risk of ovarian cancer', '', '', '', '', 'breast cancer', 'malignant melanoma', 'MMP1', 'MMP8', '', '', '']"
7005527281,7005557039,2012,1,['']
7005527281,7005557039,2013,6,"['', 'Breast cancer', 'Stage', 'Survival', 'CHEK2', 'Gastric cancer', 'Heredity', 'BLM gene', 'Bloom syndrome', 'C.1642C&gt;T', 'Prostate cancer', 'Q548X mutation', 'Breast cancer', 'NBS1', 'Prognostic factors', 'Survival', '']"
7005527281,7005557039,2014,1,['']
7005527281,7005557039,2015,2,"['', '']"
7005527281,7005557039,2016,1,['']
7005527281,7005557039,2017,4,"['', '', 'APOBEC3B', 'Copy number variation (CNV)', 'Hereditary breast cancer', 'Meta-analysis', 'MLPA', '']"
7005527281,7005557039,2018,7,"['Breast cancer', 'Mortality', 'Selenium', '', 'BRCA1 and BRCA2 mutation', 'Ovarian cancer', 'Poland', 'BRCA2', 'digital PCR', 'multifactorial likelihood analysis', 'quantitative real-time PCR', 'spliceogenic variants', 'Caffeine', 'Causality', 'Coffee', 'Mendelian randomization', 'Ovarian cancer', 'cancer: gastric', 'ctnna1 - map3k6 - myd88', 'heritability', 'next generation sequencing', '']"
7006067236,7005909244,2004,1,['']
7006067236,7005909244,2009,1,"['CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
