Country,Source,Target,Year,Weight,Keywords
Italy,55229724500,6507836249,2012,1,"['Critical Zone', 'Geochemistry', 'Global soil composition', 'Major elements', 'Regolith', 'Trace elements']"
Italy,55229724500,7004510605,2012,1,"['Critical Zone', 'Geochemistry', 'Global soil composition', 'Major elements', 'Regolith', 'Trace elements']"
Italy,55229724500,7006441405,2012,1,"['Critical Zone', 'Geochemistry', 'Global soil composition', 'Major elements', 'Regolith', 'Trace elements']"
Italy,36056464400,23479277200,2010,2,"['Biomonitoring', 'EMEP maps', 'Heavy metals', 'Metal deposition', 'Moss survey', 'Biomonitoring', 'Cadmium', 'Correlation analysis', 'Deposition', 'Lead', 'Mercury', 'Moss']"
Italy,36056464400,23479277200,2009,1,"['Biomonitoring', 'Evaluation procedures', 'Spatiotemporal analyses', 'Statistics']"
Italy,36056464400,23479277200,2011,1,"['Biomonitoring', 'EMEP maps', 'Moss survey', 'Nitrogen deposition']"
Italy,6508140615,23479277200,2012,1,"['Biomonitoring', 'Bryophytes', 'EMEP', 'Heavy metals', 'Metal deposition']"
Italy,23479277200,6506521858,2012,1,"['Biomonitoring', 'Bryophytes', 'EMEP', 'Heavy metals', 'Metal deposition']"
Turkey,56248637500,6602540690,2018,1,"['Anticancer', 'Carbonic anhydrases', 'Dental cells', 'Pyrazoline', 'Sulfonamide']"
Turkey,56248637500,55556260600,2018,1,"['Anticancer', 'Carbonic anhydrases', 'Dental cells', 'Pyrazoline', 'Sulfonamide']"
Turkey,56248637500,35518184300,2018,1,"['Anticancer', 'Carbonic anhydrases', 'Dental cells', 'Pyrazoline', 'Sulfonamide']"
Turkey,6602540690,55783407400,2018,1,"['Anticancer', 'Carbonic anhydrases', 'Dental cells', 'Pyrazoline', 'Sulfonamide']"
Turkey,55556260600,55783407400,2018,1,"['Anticancer', 'Carbonic anhydrases', 'Dental cells', 'Pyrazoline', 'Sulfonamide']"
Turkey,55783407400,35518184300,2018,1,"['Anticancer', 'Carbonic anhydrases', 'Dental cells', 'Pyrazoline', 'Sulfonamide']"
Turkey,7003792998,25641355500,2008,7,"['', '', '', '', '', '', '']"
Turkey,7003792998,25641355500,2009,8,"['Medical education', 'National cardiology journals', '', '', '', '', 'Education in cardiology', 'National societies', '', '']"
Turkey,7003792998,25641355500,2010,1,['']
Turkey,7003465789,6701768368,2015,1,"['Eukaryote', 'Exosome', 'Extracellular vesicle', 'Microparticle', 'Microvesicle', 'Physiology', 'Prokaryote']"
Turkey,7003465789,6701661028,2015,1,"['Eukaryote', 'Exosome', 'Extracellular vesicle', 'Microparticle', 'Microvesicle', 'Physiology', 'Prokaryote']"
