Source,Target,Year,Weight,Keywords
7004133189,6701469183,2013,1,"['Dielectric coated guide', 'Finite-difference time-domain method (FDTD)', 'Finite-element method (FEM)', 'Surface plasmon', 'THz waveguide']"
7004133189,6701469183,2014,1,"['Integrated optics', 'Nanoimprint', 'Polymer nanowires']"
7004133189,6701469183,2015,1,['']
55881690200,54921741800,2012,1,"['Aqua Regia', 'Extractability', 'GEMAS', 'Geochemical Mapping', 'XRF']"
55881690200,54921741800,2013,2,"['', '']"
55881690200,54921741800,2014,1,['']
55881690200,54921741800,2015,2,"['Anthropogenic anomalies', 'Bioavailability', 'GEMAS', 'Geochemical mapping', 'Geogenic patterns', 'ICP-MS', 'MMI® extraction', 'Agricultural soil', 'Geochemistry', 'Parent material', 'Upper continental crust UCC', 'Weathering']"
55881690200,54921741800,2018,2,"['Agricultural soil', 'Background variation', 'Continental scale', 'Europe', 'Geochemical threshold', 'Arable soil', 'Carbon', 'GEMAS project', 'Nitrogen', 'Spatial distribution', 'Sulphur', 'Total organic carbon (TOC)']"
57104605500,57196642723,2013,1,['']
57104605500,57196642723,2012,1,['']
55893417500,38961666100,2017,1,"['Children', 'Interactive story-telling', 'Kids stress relief', 'Prevention intervention', 'Serious game (app)', 'Stress management']"
55893417500,38961666100,2018,2,"['Adolescent', 'Anxiety', 'Anxiety disorders', 'Child', 'EHealth', 'Mobile applications', 'Review', 'Telemedicine', '']"
35495139000,6603715948,2017,1,"['3D-Reconstruction', 'Magnetic Resonance Imaging', 'Multiple sclerosis disease']"
