Country,Source,Target,Year,Weight,Keywords
United States,34568529500,35227256600,2004,1,['']
United States,34568529500,35226995000,2003,1,['']
United States,34568529500,35226995000,2005,2,"['', '']"
United States,34568529500,35226995000,2006,1,['']
United States,34568529500,35226995000,2008,1,['']
United States,34568529500,35226995000,2004,2,"['', '']"
United States,34568529500,35226995000,2011,1,['']
United States,34568529500,35226934600,1997,1,['']
United States,34568529500,35226934600,1999,1,['']
United States,34568529500,35226934600,1996,1,['']
United States,34568529500,35226934600,2000,2,"['', '']"
United States,34568529500,35226934600,1998,1,['']
United States,34568529500,35226934600,1995,1,['']
United States,34568529500,35226934600,2001,2,"['', '']"
United States,34568529500,35226934600,2002,1,['']
United States,34568529500,35226934600,2003,1,['']
United States,34568529500,35226934600,2004,1,['']
United States,34568529500,35226934600,1994,1,['']
United States,34568529500,35226934600,2005,3,"['', '', '']"
United States,34568529500,35226934600,2006,1,['']
United States,34568529500,35226934600,2008,1,['']
United States,34568529500,35226934600,2011,1,['']
United States,34568529500,35226934600,2014,1,['']
United States,34568529500,35226934600,2018,1,['']
United States,34568529500,35351336800,1997,1,['']
United States,34568529500,35351336800,1999,1,['']
United States,34568529500,35351336800,1996,1,['']
United States,34568529500,35351336800,2000,2,"['', '']"
United States,34568529500,35351336800,1998,1,['']
United States,34568529500,35351336800,1995,1,['']
United States,34568529500,35351336800,2001,2,"['', '']"
United States,34568529500,35351336800,2002,1,['']
United States,34568529500,35351336800,2003,1,['']
United States,34568529500,35351336800,2004,1,['']
United States,34568529500,35351336800,2005,3,"['', '', '']"
United States,34568529500,35351336800,2006,1,['']
United States,34568529500,35351336800,2008,1,['']
United States,34568529500,35351336800,2011,1,['']
United States,34568529500,35351336800,2014,1,['']
United States,34568529500,35351336800,2018,1,['']
United States,34568529500,35227142500,1995,2,"['', '']"
United States,34568529500,35227142500,1994,1,['']
United States,34568529500,35227142500,2005,2,"['', '']"
United States,34568529500,35227142500,2006,1,['']
United States,34568529500,35227142500,2004,3,"['', '', '']"
United States,34568529500,35226944400,2005,1,['']
United States,34568529500,35226944400,2006,1,['']
United States,34568529500,35226944400,2008,1,['']
United States,34568529500,35226944400,2010,1,['Hadron-hadron scattering']
United States,34568529500,35226944400,2011,1,['']
United States,34568529500,35226944400,2012,2,"['', '']"
United States,34568529500,35226944400,2014,1,['Hadron-hadron scattering']
United States,34568529500,35227012000,1997,1,['']
United States,34568529500,35227012000,1999,1,['']
United States,34568529500,35227012000,1996,1,['']
United States,34568529500,35227012000,2000,2,"['', '']"
United States,34568529500,35227012000,1998,1,['']
United States,34568529500,35227012000,2001,2,"['', '']"
United States,34568529500,35227012000,2002,1,['']
United States,34568529500,35227012000,2003,1,['']
United States,34568529500,35227012000,2004,1,['']
United States,34568529500,35227012000,1995,1,['']
United States,34568529500,35227012000,2005,3,"['', '', '']"
United States,34568529500,35227012000,2006,1,['']
United States,34568529500,35227012000,2008,1,['']
United States,34568529500,35227012000,2011,1,['']
United States,34568529500,35227012000,2014,1,['']
United States,34568529500,35227012000,2018,1,['']
United States,34568529500,56978768800,2002,1,['']
United States,34568529500,35227721700,2002,1,['']
United States,34568529500,35226983400,2005,1,['']
United States,34568529500,35226983400,2006,1,['']
United States,34568529500,35226983400,2008,1,['']
United States,34568529500,35226983400,2011,1,['']
United States,35277567100,35228145300,1997,1,['']
United States,35228145300,35226978500,1997,1,['']
United States,35228145300,35227721700,1997,1,['']
United States,57203234311,34568529500,2008,1,['']
United States,35227839500,34568529500,2002,1,['']
United States,35227839500,35228145300,1997,1,['']
United States,35274521100,34568529500,2011,1,['']
United States,35274521100,34568529500,2014,1,['']
United States,35274521100,34568529500,2018,1,['']
United States,35226998800,34568529500,2008,1,['']
United States,35226998800,34568529500,2011,1,['']
United States,35226998800,34568529500,2014,1,['']
United States,35226998800,34568529500,2018,1,['']
United States,35276985900,34568529500,1995,2,"['', '']"
United States,35276985900,34568529500,1994,1,['']
United States,35276985900,34568529500,2005,2,"['', '']"
United States,35276985900,34568529500,2006,2,"['', '']"
United States,35276985900,34568529500,2004,3,"['', '', '']"
United States,6603350067,34568529500,2008,1,['']
United States,35227061300,34568529500,2003,1,['']
United States,35227061300,34568529500,2005,1,['']
United States,35227061300,34568529500,2006,1,['']
United States,35227061300,34568529500,2008,1,['']
United States,35227061300,34568529500,2004,2,"['', '']"
United States,35227061300,34568529500,2011,1,['']
United States,35227061300,34568529500,2014,1,['']
United States,35227061300,34568529500,2018,1,['']
United States,34568529500,35227268200,2004,1,['']
United States,34568529500,35277567100,2002,1,['']
United States,34568529500,35354493600,1997,1,['']
United States,34568529500,35354493600,1999,1,['']
United States,34568529500,35354493600,1996,1,['']
United States,34568529500,35354493600,2000,2,"['', '']"
United States,34568529500,35354493600,1998,1,['']
United States,34568529500,35354493600,1995,1,['']
United States,34568529500,35354493600,2001,2,"['', '']"
United States,34568529500,35354493600,2002,1,['']
United States,34568529500,35354493600,2003,1,['']
United States,34568529500,35354493600,2004,1,['']
United States,34568529500,35354493600,1994,1,['']
United States,34568529500,35354493600,2005,3,"['', '', '']"
United States,34568529500,35354493600,2006,1,['']
United States,34568529500,35354493600,2008,1,['']
United States,34568529500,35354121400,1997,1,['']
United States,34568529500,35354121400,1999,1,['']
United States,34568529500,35354121400,1996,1,['']
United States,34568529500,35354121400,2000,2,"['', '']"
United States,34568529500,35354121400,1998,1,['']
United States,34568529500,35354121400,1995,1,['']
United States,34568529500,35354121400,2001,2,"['', '']"
United States,34568529500,35354121400,2002,1,['']
United States,34568529500,35354121400,2003,1,['']
United States,34568529500,35354121400,2004,1,['']
United States,34568529500,35354121400,1994,1,['']
United States,34568529500,35354121400,2005,3,"['', '', '']"
United States,34568529500,35354121400,2006,1,['']
United States,34568529500,35354121400,2008,1,['']
United States,34568529500,35354121400,2011,1,['']
United States,34568529500,35354121400,2014,1,['Hadron-hadron scattering']
United States,34568529500,35354121400,2018,1,['']
United States,34568529500,35227175100,2002,1,['']
United States,34568529500,35227175100,2005,2,"['', '']"
United States,34568529500,35227175100,2006,2,"['', '']"
United States,34568529500,35227175100,2004,3,"['', '', '']"
United States,34568529500,35226978500,1997,1,['']
United States,34568529500,35226978500,1999,1,['']
United States,34568529500,35226978500,1996,1,['']
United States,34568529500,35226978500,2000,2,"['', '']"
United States,34568529500,35226978500,1998,1,['']
United States,34568529500,35226978500,1995,1,['']
United States,34568529500,35226978500,2001,2,"['', '']"
United States,34568529500,35226978500,2002,1,['']
United States,34568529500,35226978500,2003,1,['']
United States,34568529500,35226978500,2004,1,['']
United States,34568529500,35226978500,1994,1,['']
United States,34568529500,35226978500,2005,3,"['', '', '']"
United States,34568529500,35226978500,2006,1,['']
United States,34568529500,35226978500,2008,1,['']
United States,34568529500,35227256600,2004,1,['']
United States,34568529500,35226995000,2003,1,['']
United States,34568529500,35226995000,2005,2,"['', '']"
United States,34568529500,35226995000,2006,1,['']
United States,34568529500,35226995000,2008,1,['']
United States,34568529500,35226995000,2004,2,"['', '']"
United States,34568529500,35226995000,2011,1,['']
United States,34568529500,35226934600,1997,1,['']
United States,34568529500,35226934600,1999,1,['']
United States,34568529500,35226934600,1996,1,['']
United States,34568529500,35226934600,2000,2,"['', '']"
United States,34568529500,35226934600,1998,1,['']
United States,34568529500,35226934600,1995,1,['']
United States,34568529500,35226934600,2001,2,"['', '']"
United States,34568529500,35226934600,2002,1,['']
United States,34568529500,35226934600,2003,1,['']
United States,34568529500,35226934600,2004,1,['']
United States,34568529500,35226934600,1994,1,['']
United States,34568529500,35226934600,2005,3,"['', '', '']"
United States,34568529500,35226934600,2006,1,['']
United States,34568529500,35226934600,2008,1,['']
United States,34568529500,35226934600,2011,1,['']
United States,34568529500,35226934600,2014,1,['']
United States,34568529500,35226934600,2018,1,['']
United States,34568529500,35226946900,2004,1,['']
United States,34568529500,35226946900,2010,1,['Hadron-hadron scattering']
United States,34568529500,35226946900,2012,2,"['', '']"
United States,34568529500,35226946900,2014,1,['Hadron-hadron scattering']
United States,34568529500,35351336800,1997,1,['']
United States,34568529500,35351336800,1999,1,['']
United States,34568529500,35351336800,1996,1,['']
United States,34568529500,35351336800,2000,2,"['', '']"
United States,34568529500,35351336800,1998,1,['']
United States,34568529500,35351336800,1995,1,['']
United States,34568529500,35351336800,2001,2,"['', '']"
United States,34568529500,35351336800,2002,1,['']
United States,34568529500,35351336800,2003,1,['']
United States,34568529500,35351336800,2004,1,['']
United States,34568529500,35351336800,2005,3,"['', '', '']"
United States,34568529500,35351336800,2006,1,['']
United States,34568529500,35351336800,2008,1,['']
United States,34568529500,35351336800,2011,1,['']
United States,34568529500,35351336800,2014,1,['']
United States,34568529500,35351336800,2018,1,['']
United States,34568529500,35227142500,1995,2,"['', '']"
United States,34568529500,35227142500,1994,1,['']
United States,34568529500,35227142500,2005,2,"['', '']"
United States,34568529500,35227142500,2006,1,['']
United States,34568529500,35227142500,2004,3,"['', '', '']"
United States,34568529500,7006986115,1997,1,['']
United States,34568529500,7006986115,1999,1,['']
United States,34568529500,7006986115,1996,1,['']
United States,34568529500,7006986115,2000,2,"['', '']"
United States,34568529500,7006986115,1998,1,['']
United States,34568529500,7006986115,1995,2,"['', '']"
United States,34568529500,7006986115,2001,2,"['', '']"
United States,34568529500,7006986115,2002,1,['']
United States,34568529500,7006986115,2003,1,['']
United States,34568529500,7006986115,2004,1,['']
United States,34568529500,7006986115,1994,1,['']
United States,34568529500,35226944400,2005,1,['']
United States,34568529500,35226944400,2006,1,['']
United States,34568529500,35226944400,2008,1,['']
United States,34568529500,35226944400,2010,1,['Hadron-hadron scattering']
United States,34568529500,35226944400,2011,1,['']
United States,34568529500,35226944400,2012,2,"['', '']"
United States,34568529500,35226944400,2014,1,['Hadron-hadron scattering']
United States,34568529500,35227012000,1997,1,['']
United States,34568529500,35227012000,1999,1,['']
United States,34568529500,35227012000,1996,1,['']
United States,34568529500,35227012000,2000,2,"['', '']"
United States,34568529500,35227012000,1998,1,['']
United States,34568529500,35227012000,2001,2,"['', '']"
United States,34568529500,35227012000,2002,1,['']
United States,34568529500,35227012000,2003,1,['']
United States,34568529500,35227012000,2004,1,['']
United States,34568529500,35227012000,1995,1,['']
United States,34568529500,35227012000,2005,3,"['', '', '']"
United States,34568529500,35227012000,2006,1,['']
United States,34568529500,35227012000,2008,1,['']
United States,34568529500,35227012000,2011,1,['']
United States,34568529500,35227012000,2014,1,['']
United States,34568529500,35227012000,2018,1,['']
United States,34568529500,56978768800,2002,1,['']
United States,34568529500,35227721700,2002,1,['']
United States,34568529500,7006058984,1996,2,"['', '']"
United States,34568529500,7006058984,1998,1,['']
United States,34568529500,7006058984,1995,2,"['', '']"
United States,34568529500,7006058984,1994,1,['']
United States,34568529500,7006058984,1999,1,['']
United States,34568529500,35226983400,2005,1,['']
United States,34568529500,35226983400,2006,1,['']
United States,34568529500,35226983400,2008,1,['']
United States,34568529500,35226983400,2011,1,['']
United States,35277567100,35228145300,1997,1,['']
United States,35228145300,35226978500,1997,1,['']
United States,35228145300,7401520916,1997,1,['']
United States,35228145300,35227721700,1997,1,['']
United States,36013075600,7201814905,2008,1,['']
United States,35226982400,34568529500,1997,1,['']
United States,35226982400,34568529500,1999,1,['']
United States,35226982400,34568529500,1996,1,['']
United States,35226982400,34568529500,2000,2,"['', '']"
United States,35226982400,34568529500,1998,1,['']
United States,35226982400,34568529500,2001,2,"['', '']"
United States,35226982400,34568529500,2002,1,['']
United States,35226982400,34568529500,2003,1,['']
United States,35226982400,34568529500,2004,1,['']
United States,35226982400,34568529500,1995,1,['']
United States,35226982400,34568529500,1994,1,['']
United States,35226982400,34568529500,2005,3,"['', '', '']"
United States,35226982400,34568529500,2006,1,['']
United States,35226982400,34568529500,2008,1,['']
United States,35226982400,34568529500,2011,1,['']
United States,35226982400,34568529500,2014,1,['']
United States,35226982400,34568529500,2018,1,['']
United States,35227165700,34568529500,1997,1,['']
United States,35227165700,34568529500,1996,1,['']
United States,35227165700,34568529500,1998,2,"['', '']"
United States,35227165700,34568529500,2004,3,"['', '', '']"
United States,35227165700,34568529500,1995,1,['']
United States,35227165700,34568529500,2002,1,['']
United States,35227165700,34568529500,1994,1,['']
United States,35227165700,34568529500,1999,1,['']
United States,35227165700,34568529500,2005,2,"['', '']"
United States,35227165700,34568529500,2006,2,"['', '']"
United States,35227165700,34568529500,2018,1,['']
