6504030000,"[36740096000, 36150553600, 23973038600, 36552827400, 14623125000, 36606437900, 55196581900, 36115476500, 6507828757, 57194138646, 57194130964, 51964594200, 55191337500, 55931843100, 57196950045, 16424634400, 24536809000, 15830692400, 17833666100, 16401217600, 56043944000, 15068669000, 16229479500, 17345588300, 24390955600, 23482633300, 14041715800, 35952990300, 36128299100, 56549969500, 16638379100, 24173666400, 16028356200, 16938444400, 11838834800, 55911056500, 12808477300, 15926603900, 23971621500, 12446215300, 18634285700, 12770093700, 15727397000, 15023285900, 15059744400, 16836934800, 7102900376, 24725193900, 18633472700, 16555443900, 56056952000, 16231787200, 16310741700, 24597952200, 57190853839, 15847778000, 56298764500, 14632656600, 14014147800, 24178038500, 12772833000, 55898298600, 55408348400, 19638850800, 15922042100, 36995488500, 43061015800, 14025700600, 35219970300, 15751323900, 16304821500, 56056847100, 15724716800, 14524093700, 55382832900, 57190653702, 57109279500, 35095719700, 57187004700, 36150639900, 47661133600, 17344376100, 16556241700, 16242961700, 7003995951, 6504030000, 36112708400, 56298273600, 18434623300, 55898951500, 56094740300, 14319358800, 55225914200, 11439200600, 55066562400, 16416962400, 24824309600, 15845254500, 14422214500, 55468964200, 55574181741, 15040530800, 13204916600, 16245607800, 34968180600, 14025451900, 15043858300, 35302025600, 14021876100, 24764830100, 16947541500, 36980957600, 12797656500, 35303576500, 54383973300, 15730767800, 12797379000, 16315527100, 55481773500, 16305589700, 24504189900, 15749911500, 14623042000, 36150376400, 15750674900, 16199459800, 57201049562, 24832026600, 15128705000, 25646558700, 55330675700, 24390413300, 57194139636, 13606660600, 12793071100]",150,1
6504059140,"[29567501700, 6504059140, 7003840526, 19640742800, 6507819030, 7003332132, 8609524900, 55391630500, 7005939239, 6507293991, 6602120749, 7004430385, 15837987000, 6506293433, 56422841400, 7006336326, 56264166100, 15761788500, 7004576598, 57191633879, 6603071191, 14033296600, 7004431212, 24078955500, 23489212400, 16506418300]",25,1
6504085872,"[36903683600, 7801552657, 57197109397, 56142629400, 6602665374, 6603231775, 55932756000, 57198172962, 6507908411, 55912685500, 6508172479, 55913292100, 6505984077, 57189438669, 24775806800, 57053065300, 36906265300, 23972711000, 8585307100, 56201055200, 56142092900, 55888170600, 56200346600, 57087146600, 6505731817, 56140827500, 6504085872, 15027043700, 6507106686]",25,1
6504087173,"[6504802694, 56472506000, 44061387800, 57115350300, 57203856286, 56181472800, 35422148900, 56472574500, 57197270572, 44061074100, 36805625400, 56565433400, 56444477500, 36819443900, 57114862400, 56028692300, 56239352400, 55356211800, 57201970776, 44061921500, 57114655200, 56444508900, 44061741800, 36574119400, 57163847400]",13,1
6504091240,"[14826956800, 16427686400, 35226931200, 35278310400, 56235417100, 35104985100, 7201489423, 24759171600, 35226998800, 55412398100, 22996961300, 7401512474, 35278176800, 35227143200, 15842861600, 14056186400, 35223409700, 7102578729, 35226937900, 22970067500, 6701387820, 6602918957, 35228222000, 7007004208, 35223089200, 6603064887, 6602433593, 14049290300, 24536744000, 55697345600, 35226984000, 24759438400, 35223105600, 7004004937, 35227064400, 34567544400, 43061214800, 35227951700, 7004441173, 35227516500, 26663228500, 6602568283, 57042385500, 56438617700, 35226969700, 11040657000, 6504091240, 35227144300, 6602130032, 23033821300, 35095999100, 35233692800, 14066293900, 35227027600, 56757690000, 35278014100, 35227035800, 25944053400, 57202563228, 35226992800, 56608761000, 35355952300, 6602368174, 35227034800, 7004944052, 34570415800, 8292975800, 35104239800, 35227294400, 23492510400, 25943645900, 7004648143, 35277533400, 6701866201, 35228065500, 35229426400, 26326821600, 56808144100, 8546452200, 7203060975, 8546451700, 57202559221, 56225278200, 17345167100, 34975054600, 35315022600, 35227052300, 56243385100, 7401520916, 35226932500, 7004974869, 6602902293, 6602174231, 24758798100, 26667747100, 24758179100, 26655599900, 56978953000, 35313719600, 6505778480, 24280951600, 26326814000, 56072575800, 34767918400, 8453153600, 35226934600, 35315049800, 35227587400, 55139152200, 35226946900, 36146639700, 35314835800, 23492055900, 25942632800, 10340537700, 35104288100, 10045092200, 35226996600, 7004315004, 6506457982, 35223715200, 35352197000, 35227051400, 6701677963, 35226944400, 56261402000, 26326826900, 25650334100, 35222916500, 35227157400, 22136063900, 24347545500, 35227012000, 16401910700, 6701620142, 24758830000, 22834750900, 31967648700, 57202562494, 10039166400, 6701493699, 35226997700, 26326735300, 7102845895, 35226976200, 31967524300, 7004674508, 6602653647, 6604079571, 35105618900, 7101848031, 35227000800, 24757919200, 35226983400, 8948621800, 55957278700, 35227810800, 27169600500, 35279044600, 35227042300]",150,1
6504095819,"[36100998400, 6504319620, 37862237700, 56968151300, 36521178500, 25230552200, 10240363400, 56491592200, 35759066500, 24079817100, 57200077837, 57194872464, 55132074000, 56499303700, 55135985300, 36101018900, 56207016600, 16200021400, 8340486300, 6602495006, 25645003300, 56800564900, 55877871400, 55803952300, 56337139500, 35364826800, 36100894000, 14025463600, 10243975600, 15127755700, 36549241400, 55135779000, 55946362300, 46461783100, 24449768000, 25229673800, 56113897800, 57201469770, 56596777800, 55936087500, 24449092300, 54390809800, 15022075600, 46461362000, 6602918612, 55776662100, 6505732692, 36015878100, 14020979800, 56513498200, 54391024600, 57203514969, 54971236700, 55406581600, 57190582755, 57203638648, 6602348267, 55617896300, 6506858866, 35758246900, 55307859700, 57194222838, 46461062900, 23478993400]",75,1
6504103525,"[6603937924, 37107312900, 57188879876, 15064398600, 56472568700, 8258446600, 36623343500, 6504124686, 36667235600, 57194160401, 56472487700, 56567662100, 55884251800, 56031826200, 55183762200, 57201374360, 57197793560, 35617181600, 22235564200, 55184098600, 56272694700, 55008106800, 36624564400, 7006759860, 41461845300, 36665961400, 7202469562, 36666108100, 6603652935, 55183856200, 36716388300, 6701731534, 36666850000, 57144226000, 25628175700, 8848422100, 24470992600, 57195399518, 13408835300, 6504103525, 36666076900, 56594563300, 37107748200, 55183565800, 7404917739, 16028351600, 36667091700, 12797219700, 15069742200, 15130821500]",27,1
6504108331,"[16534257700, 22998758300, 6504108331, 22987404300, 6504828813, 7003740559, 22970773300, 7005785655, 16504107800, 24548015100, 6603849437, 7005396734]",,1
6504134839,"[7102900097, 24921815300, 22034474500, 16024635400, 14049822600, 14050846200, 6505585550, 24537161500, 24476022300, 16506482100, 6504134839, 57158774200, 57197553850, 36349259200, 27068030400, 6506831044, 6508124484, 35118191300, 55911654600, 6506475980, 6506881488, 35099989200, 35100149100, 57196830447, 35100865400]",2,1
6504161494,"[36665798400, 54407559300, 56797871500, 54783967500, 55797786000, 7103388946, 6505573522, 56764551700, 55420385300, 55480423700, 57202339864, 54784168600, 6508361371, 36010627100, 6602996509, 55543113500, 26656727200, 36738973600, 39761213600, 57196298146, 56872814500, 26656785700, 36173141800, 57196298409, 51663233200, 6503885490, 26658587700, 55283160500, 24376741300, 56652035000, 35219210300, 26656752700, 55904883900, 57200784447, 6602701506, 55191343300, 35217506500, 35220368200, 35218560200, 57193788763, 57202390620, 26656827100, 6602577243, 6603502049, 55481168100, 37090643300, 26656500200, 35219108200, 56766264300, 57095851500, 26656508400, 36025290100, 38662164600, 51663480700]",75,1
