ID,EGO_COUNTRY,EGO_CITATIONS,EGO_PAPERS,EGO_COAUTHORS
35227157500,France,51310,1140,20007
35226986100,France,47050,756,10232
7004647768,France,46896,809,17535
16019601700,France,47119,963,18560
57202558736,United Kingdom,74067,703,7429
36045793700,France,35079,823,1167
35227605000,France,41402,764,11898
6701861745,France,42601,712,14677
56978916200,France,41437,920,16025
56808163800,France,44321,958,16199
55328422600,France,41706,869,17191
7202564680,France,36827,843,2356
36047665000,France,66703,935,4161
56978875400,France,43242,910,16224
56785485300,France,41668,916,17937
35232379300,France,44451,996,15675
56225278200,France,45154,943,18670
56438900200,France,44918,898,16581
6504592246,France,44450,958,18548
8596435000,France,45368,899,18956
7003604925,France,42892,971,17288
8977995200,France,41694,872,15937
6603133158,France,41751,875,16619
8292975800,France,43312,933,16464
7201489423,France,43389,941,16163
35226990500,France,72920,1668,21140
36050113100,France,75927,929,1207
57202562074,France,41375,858,16489
24286696600,France,42031,883,16140
56978885700,France,43474,881,15863
6603673326,France,43370,925,16784
35350563300,France,72504,1514,20924
6601965244,France,42102,883,16386
16315534200,France,42253,858,16589
35373652400,France,36998,775,4999
56212505300,France,88418,980,17935
35227278400,France,81996,1520,20497
35227163700,France,44297,907,16549
57202569701,France,43596,937,18625
35353976400,France,37048,879,7822
56978917300,France,43658,792,15697
16244924200,France,41354,864,16548
56823693100,France,45535,909,16727
35547194700,France,36008,815,1233
6603684636,France,42509,933,16067
7004857936,France,41563,906,15816
35227282000,France,37210,915,7694
55429556800,France,136468,954,2359
56261416800,France,46030,993,17361
16428620600,France,42845,890,16119
24442335400,France,42768,932,16156
57202556931,France,45957,908,16806
7006173465,United States,68557,1212,22612
8678679600,France,41332,854,16266
36124235000,France,46217,877,18790
35380287000,France,157263,1229,6223
35278394100,France,45490,947,18367
57202559221,France,46121,992,17641
35285663700,France,46424,960,18196
6506883851,France,46124,964,18814
55939329200,France,45851,949,15750
8065204700,France,425,12,491
35377488600,France,74046,1098,2480
36491634600,France,41328,856,15872
24347545500,France,43603,908,16370
7102807973,France,42883,957,16166
35278310400,France,42896,864,17097
6602325806,France,46128,939,18046
36148386200,France,45968,1002,18756
7005943124,France,47436,546,6565
7004315004,France,45752,939,16567
35276922900,France,41415,848,16336
35285467800,France,41582,896,16455
35403099400,France,36979,776,1713
55537623600,France,71329,936,16386
35416421800,France,106476,734,899
7004168189,Germany,51423,1009,17305
35313911400,Germany,42282,922,15544
35228214000,Germany,52282,1051,20655
35227370400,Germany,51059,1071,17300
35227752800,Germany,41764,1014,15439
35227735600,Germany,50642,1137,21134
8062443100,Germany,42427,949,19673
7003831414,Germany,50188,1163,17539
7003946866,Germany,54726,1137,18976
35354983800,Germany,50036,1128,17400
35372482100,Germany,51465,1073,17061
56448143800,Germany,50875,1265,20500
56220801900,Germany,57415,1251,21510
6603680587,Germany,50548,1048,17247
55143401900,Germany,40479,963,2127
16244332600,Germany,41887,789,15370
35222026500,Germany,52091,1124,18854
36046932600,Germany,33000,686,822
6701865667,Germany,41456,868,16268
35313279200,Germany,52568,1107,19553
36049973800,Taiwan,46369,1745,1388
55444194400,Germany,53033,1318,18623
36048150200,Germany,35366,1178,2614
55532046200,Germany,49676,783,780
7203021106,Germany,53404,1196,19040
56448082000,Germany,52889,1175,17830
6602815085,Germany,38956,738,13919
27169600500,Germany,41353,868,16457
7102567570,Germany,41290,859,16272
56967690900,Germany,54341,1088,17489
8078236300,Germany,53536,1165,17636
7005188314,Germany,41358,901,15849
6701767992,Germany,41850,897,16525
24764445800,Germany,51100,1018,18154
35227134400,Germany,53723,1216,18097
55945760400,Germany,46524,967,1854
7005228958,Germany,52879,1180,22905
14823873000,Germany,51554,1040,19238
35226939400,Germany,52643,1137,20660
24759300300,Germany,42379,923,16430
7202762848,Germany,35834,1263,1597
25943404000,Germany,51815,1005,19295
6508004365,Germany,41877,858,15985
25944053400,Germany,52600,939,16244
56894713500,Germany,50890,1046,18046
7004125229,Germany,52271,1104,18776
34881572300,Germany,52834,1288,20499
35227385300,Germany,52673,1071,17518
35227959000,Germany,51141,1016,16701
35227964000,Germany,51263,1034,14564
55538312300,Germany,53820,1089,22509
35430328000,Germany,37480,1275,3570
56438983300,Germany,50303,1051,19252
7006507139,Germany,45882,692,6512
13702651800,Germany,39972,1379,2399
36148386500,Germany,45648,957,17920
55171735000,Germany,45855,1001,16638
35227958000,Germany,44374,1081,17716
8212770000,Germany,46125,941,17039
8293419700,Germany,45519,917,16341
35373857800,Germany,40796,720,1461
35392067600,Germany,39235,690,1981
55006646100,Germany,39632,943,2504
16244718600,Germany,44602,896,16298
24567208900,Germany,41450,1026,6865
6602104430,Germany,47129,917,16500
56808166600,Germany,44845,926,18024
35228092800,Germany,46992,911,16181
35227980900,Germany,37756,826,11311
35227969300,Germany,48655,1010,18306
16741658400,Germany,41700,772,5647
35227809600,Germany,49048,1069,19411
36040798600,China,38937,1540,1457
56978868600,Germany,45694,1033,17392
35227741200,Germany,45971,996,16018
7201690904,Germany,39915,706,1492
7004047272,Germany,46930,1105,16656
34569623400,Germany,54833,1197,18642
35193761600,Germany,43156,936,17750
7004752200,Germany,41880,732,1575
56235417100,France,46072,932,18122
35317963900,Russian Federation,42739,1057,1243
6603271241,Germany,46112,940,16249
34570415800,Germany,46126,1005,18553
35228074500,Germany,42429,1190,7952
6508236368,Germany,47601,1052,20256
36045348100,Germany,41386,1499,3034
7004342745,Germany,47317,990,16341
36026370800,Germany,45932,955,19863
35227951700,Germany,47829,1095,17762
13612881400,Germany,45696,1009,16249
35308635600,Germany,44916,919,17014
35600540200,Germany,42908,1005,664
56785403600,Germany,47009,892,16505
35227035800,Germany,50053,1014,18296
35314973000,Germany,46715,803,15601
10040551800,Germany,42131,709,17776
35227980000,Germany,45591,1002,17089
7005749805,Germany,53901,712,2751
35227435300,Germany,49920,1061,18210
36044571800,Sweden,44170,1328,2561
35227955300,Germany,46681,806,12864
7003267194,Germany,39915,684,14539
35227627400,Germany,39019,982,8052
10040344000,Germany,50187,1035,16873
14634400100,Germany,50846,1049,19742
35314541700,Germany,49720,939,15948
8832890600,Germany,42625,946,16180
